Sym_88503_c0_g1_i1	Sym_88503_c0_g1
Sym_76426_c0_g1_i1	Sym_76426_c0_g1
Sym_76451_c0_g1_i1	Sym_76451_c0_g1
Sym_76502_c0_g1_i1	Sym_76502_c0_g1
Sym_76413_c0_g1_i1	Sym_76413_c0_g1
Sym_76468_c0_g1_i1	Sym_76468_c0_g1
Sym_76449_c0_g1_i1	Sym_76449_c0_g1
Sym_76449_c0_g2_i1	Sym_76449_c0_g2
Sym_76436_c0_g1_i2	Sym_76436_c0_g1
Sym_76418_c0_g1_i1	Sym_76418_c0_g1
Sym_76418_c0_g2_i1	Sym_76418_c0_g2
Sym_76424_c0_g1_i2	Sym_76424_c0_g1
Sym_76435_c0_g1_i1	Sym_76435_c0_g1
Sym_76486_c0_g1_i1	Sym_76486_c0_g1
Sym_76417_c0_g1_i1	Sym_76417_c0_g1
Sym_60118_c0_g1_i2	Sym_60118_c0_g1
Sym_60111_c0_g1_i1	Sym_60111_c0_g1
Sym_60112_c0_g1_i1	Sym_60112_c0_g1
Sym_60155_c0_g1_i2	Sym_60155_c0_g1
Sym_60160_c0_g1_i1	Sym_60160_c0_g1
Sym_60172_c0_g1_i1	Sym_60172_c0_g1
Sym_60139_c0_g1_i1	Sym_60139_c0_g1
Sym_60187_c0_g1_i1	Sym_60187_c0_g1
Sym_60195_c0_g1_i1	Sym_60195_c0_g1
Sym_60122_c0_g1_i1	Sym_60122_c0_g1
Sym_60175_c0_g1_i1	Sym_60175_c0_g1
Sym_60175_c0_g2_i1	Sym_60175_c0_g2
Sym_60105_c0_g1_i2	Sym_60105_c0_g1
Sym_60143_c0_g1_i3	Sym_60143_c0_g1
Sym_60159_c0_g1_i1	Sym_60159_c0_g1
Sym_60131_c0_g1_i1	Sym_60131_c0_g1
Sym_60174_c0_g1_i1	Sym_60174_c0_g1
Sym_60157_c0_g1_i1	Sym_60157_c0_g1
Sym_60107_c0_g1_i1	Sym_60107_c0_g1
Sym_60119_c0_g1_i1	Sym_60119_c0_g1
Sym_60151_c0_g1_i1	Sym_60151_c0_g1
Sym_60190_c0_g1_i1	Sym_60190_c0_g1
Sym_60114_c0_g1_i2	Sym_60114_c0_g1
Sym_60135_c0_g1_i1	Sym_60135_c0_g1
Sym_60169_c0_g1_i1	Sym_60169_c0_g1
Sym_60137_c0_g1_i1	Sym_60137_c0_g1
Sym_60179_c0_g1_i1	Sym_60179_c0_g1
Sym_60133_c0_g1_i1	Sym_60133_c0_g1
Sym_60142_c0_g1_i1	Sym_60142_c0_g1
Sym_60124_c0_g1_i1	Sym_60124_c0_g1
Sym_60136_c0_g1_i1	Sym_60136_c0_g1
Sym_60117_c0_g1_i1	Sym_60117_c0_g1
Sym_25891_c0_g1_i1	Sym_25891_c0_g1
Sym_25852_c0_g1_i1	Sym_25852_c0_g1
Sym_25803_c0_g1_i1	Sym_25803_c0_g1
Sym_25816_c0_g1_i1	Sym_25816_c0_g1
Sym_25807_c0_g1_i1	Sym_25807_c0_g1
Sym_93881_c0_g1_i4	Sym_93881_c0_g1
Sym_93881_c0_g1_i5	Sym_93881_c0_g1
Sym_93881_c0_g1_i1	Sym_93881_c0_g1
Sym_93888_c0_g2_i3	Sym_93888_c0_g2
Sym_93895_c1_g1_i4	Sym_93895_c1_g1
Sym_93895_c1_g1_i3	Sym_93895_c1_g1
Sym_93856_c0_g1_i1	Sym_93856_c0_g1
Sym_93840_c0_g2_i1	Sym_93840_c0_g2
Sym_93837_c0_g1_i1	Sym_93837_c0_g1
Sym_93827_c0_g5_i1	Sym_93827_c0_g5
Sym_93827_c0_g1_i1	Sym_93827_c0_g1
Sym_93827_c0_g2_i1	Sym_93827_c0_g2
Sym_93827_c0_g3_i1	Sym_93827_c0_g3
Sym_93827_c1_g1_i1	Sym_93827_c1_g1
Sym_51026_c0_g1_i1	Sym_51026_c0_g1
Sym_51016_c0_g1_i2	Sym_51016_c0_g1
Sym_51068_c0_g1_i2	Sym_51068_c0_g1
Sym_51094_c0_g1_i1	Sym_51094_c0_g1
Sym_51037_c0_g1_i2	Sym_51037_c0_g1
Sym_51097_c0_g1_i1	Sym_51097_c0_g1
Sym_51002_c0_g1_i1	Sym_51002_c0_g1
Sym_51001_c0_g1_i1	Sym_51001_c0_g1
Sym_67475_c0_g2_i1	Sym_67475_c0_g2
Sym_67491_c0_g1_i1	Sym_67491_c0_g1
Sym_67443_c0_g1_i1	Sym_67443_c0_g1
Sym_67403_c0_g1_i1	Sym_67403_c0_g1
Sym_67403_c0_g2_i1	Sym_67403_c0_g2
Sym_67404_c0_g1_i1	Sym_67404_c0_g1
Sym_67498_c0_g1_i1	Sym_67498_c0_g1
Sym_67458_c0_g1_i1	Sym_67458_c0_g1
Sym_67442_c0_g1_i2	Sym_67442_c0_g1
Sym_67425_c0_g1_i2	Sym_67425_c0_g1
Sym_67429_c0_g1_i1	Sym_67429_c0_g1
Sym_67405_c0_g1_i1	Sym_67405_c0_g1
Sym_67405_c0_g2_i1	Sym_67405_c0_g2
Sym_67439_c0_g1_i1	Sym_67439_c0_g1
Sym_67474_c0_g1_i1	Sym_67474_c0_g1
Sym_67413_c0_g1_i3	Sym_67413_c0_g1
Sym_67486_c0_g1_i1	Sym_67486_c0_g1
Sym_67487_c0_g1_i2	Sym_67487_c0_g1
Sym_67484_c0_g1_i1	Sym_67484_c0_g1
Sym_67464_c0_g1_i1	Sym_67464_c0_g1
Sym_67408_c0_g1_i2	Sym_67408_c0_g1
Sym_84690_c0_g2_i1	Sym_84690_c0_g2
Sym_84714_c0_g1_i3	Sym_84714_c0_g1
Sym_84665_c0_g1_i1	Sym_84665_c0_g1
Sym_84705_c0_g1_i1	Sym_84705_c0_g1
Sym_84683_c0_g1_i1	Sym_84683_c0_g1
Sym_84724_c0_g1_i2	Sym_84724_c0_g1
Sym_84703_c0_g1_i1	Sym_84703_c0_g1
Sym_84738_c0_g1_i1	Sym_84738_c0_g1
Sym_84746_c0_g1_i1	Sym_84746_c0_g1
Sym_84732_c0_g1_i2	Sym_84732_c0_g1
Sym_84739_c0_g1_i3	Sym_84739_c0_g1
Sym_84700_c0_g1_i1	Sym_84700_c0_g1
Sym_84715_c0_g1_i1	Sym_84715_c0_g1
Sym_84715_c0_g2_i1	Sym_84715_c0_g2
Sym_84715_c0_g2_i2	Sym_84715_c0_g2
Sym_84704_c0_g1_i1	Sym_84704_c0_g1
Sym_84741_c0_g1_i1	Sym_84741_c0_g1
Sym_84727_c0_g1_i1	Sym_84727_c0_g1
Sym_84686_c0_g1_i1	Sym_84686_c0_g1
Sym_84713_c0_g1_i1	Sym_84713_c0_g1
Sym_84713_c0_g2_i1	Sym_84713_c0_g2
Sym_84745_c0_g1_i2	Sym_84745_c0_g1
Sym_84692_c0_g1_i1	Sym_84692_c0_g1
Sym_84673_c0_g2_i1	Sym_84673_c0_g2
Sym_84693_c0_g1_i2	Sym_84693_c0_g1
Sym_84670_c0_g1_i2	Sym_84670_c0_g1
Sym_84688_c0_g1_i1	Sym_84688_c0_g1
Sym_84688_c0_g1_i2	Sym_84688_c0_g1
Sym_84697_c0_g1_i2	Sym_84697_c0_g1
Sym_84672_c0_g1_i1	Sym_84672_c0_g1
Sym_84736_c0_g1_i1	Sym_84736_c0_g1
Sym_84708_c0_g1_i2	Sym_84708_c0_g1
Sym_84734_c0_g1_i2	Sym_84734_c0_g1
Sym_3533_c0_g2_i1	Sym_3533_c0_g2
Sym_3536_c0_g1_i2	Sym_3536_c0_g1
Sym_3518_c0_g1_i1	Sym_3518_c0_g1
Sym_3585_c0_g1_i1	Sym_3585_c0_g1
Sym_3526_c0_g1_i2	Sym_3526_c0_g1
Sym_51104_c0_g1_i1	Sym_51104_c0_g1
Sym_51155_c0_g1_i1	Sym_51155_c0_g1
Sym_51178_c0_g1_i1	Sym_51178_c0_g1
Sym_51178_c0_g1_i2	Sym_51178_c0_g1
Sym_51174_c0_g2_i1	Sym_51174_c0_g2
Sym_51165_c0_g1_i1	Sym_51165_c0_g1
Sym_51159_c0_g1_i1	Sym_51159_c0_g1
Sym_51179_c0_g1_i1	Sym_51179_c0_g1
Sym_51169_c0_g1_i1	Sym_51169_c0_g1
Sym_51166_c0_g1_i1	Sym_51166_c0_g1
Sym_51181_c0_g1_i1	Sym_51181_c0_g1
Sym_51181_c0_g1_i2	Sym_51181_c0_g1
Sym_51194_c0_g1_i1	Sym_51194_c0_g1
Sym_51154_c0_g1_i1	Sym_51154_c0_g1
Sym_51137_c0_g1_i1	Sym_51137_c0_g1
Sym_51134_c0_g1_i1	Sym_51134_c0_g1
Sym_16869_c0_g1_i1	Sym_16869_c0_g1
Sym_16848_c0_g1_i1	Sym_16848_c0_g1
Sym_16882_c0_g1_i1	Sym_16882_c0_g1
Sym_16899_c0_g1_i2	Sym_16899_c0_g1
Sym_16800_c0_g1_i1	Sym_16800_c0_g1
Sym_16819_c0_g1_i2	Sym_16819_c0_g1
Sym_16818_c0_g1_i1	Sym_16818_c0_g1
Sym_16809_c0_g1_i1	Sym_16809_c0_g1
Sym_16839_c0_g1_i1	Sym_16839_c0_g1
Sym_16839_c0_g2_i1	Sym_16839_c0_g2
Sym_16888_c0_g1_i2	Sym_16888_c0_g1
Sym_16855_c0_g1_i1	Sym_16855_c0_g1
Sym_16803_c0_g1_i1	Sym_16803_c0_g1
Sym_16827_c0_g1_i1	Sym_16827_c0_g1
Sym_16845_c0_g1_i1	Sym_16845_c0_g1
Sym_16813_c0_g1_i1	Sym_16813_c0_g1
Sym_16805_c0_g1_i1	Sym_16805_c0_g1
Sym_16805_c0_g1_i2	Sym_16805_c0_g1
Sym_16820_c0_g1_i1	Sym_16820_c0_g1
Sym_16872_c0_g1_i2	Sym_16872_c0_g1
Sym_58388_c0_g1_i1	Sym_58388_c0_g1
Sym_58315_c0_g1_i1	Sym_58315_c0_g1
Sym_58383_c0_g1_i1	Sym_58383_c0_g1
Sym_58368_c0_g1_i2	Sym_58368_c0_g1
Sym_58343_c0_g1_i1	Sym_58343_c0_g1
Sym_58399_c0_g1_i1	Sym_58399_c0_g1
Sym_58392_c0_g1_i1	Sym_58392_c0_g1
Sym_58392_c0_g2_i1	Sym_58392_c0_g2
Sym_58362_c0_g1_i1	Sym_58362_c0_g1
Sym_58334_c0_g1_i1	Sym_58334_c0_g1
Sym_58378_c0_g1_i1	Sym_58378_c0_g1
Sym_58318_c0_g1_i1	Sym_58318_c0_g1
Sym_58390_c0_g1_i1	Sym_58390_c0_g1
Sym_58326_c0_g1_i1	Sym_58326_c0_g1
Sym_58395_c0_g1_i1	Sym_58395_c0_g1
Sym_58386_c0_g1_i1	Sym_58386_c0_g1
Sym_58316_c0_g1_i1	Sym_58316_c0_g1
Sym_58300_c0_g1_i2	Sym_58300_c0_g1
Sym_58301_c0_g1_i1	Sym_58301_c0_g1
Sym_58393_c0_g1_i1	Sym_58393_c0_g1
Sym_58331_c0_g1_i2	Sym_58331_c0_g1
Sym_58356_c0_g1_i1	Sym_58356_c0_g1
Sym_58339_c2_g1_i1	Sym_58339_c2_g1
Sym_58339_c0_g1_i1	Sym_58339_c0_g1
Sym_58357_c0_g1_i3	Sym_58357_c0_g1
Sym_58361_c0_g1_i1	Sym_58361_c0_g1
Sym_58333_c0_g2_i1	Sym_58333_c0_g2
Sym_58336_c0_g1_i1	Sym_58336_c0_g1
Sym_58313_c0_g2_i1	Sym_58313_c0_g2
Sym_58312_c0_g1_i1	Sym_58312_c0_g1
Sym_58381_c0_g1_i1	Sym_58381_c0_g1
Sym_58377_c0_g1_i1	Sym_58377_c0_g1
Sym_58311_c0_g1_i1	Sym_58311_c0_g1
Sym_58351_c0_g1_i1	Sym_58351_c0_g1
Sym_58379_c0_g1_i1	Sym_58379_c0_g1
Sym_58363_c0_g1_i1	Sym_58363_c0_g1
Sym_84861_c0_g1_i1	Sym_84861_c0_g1
Sym_84787_c0_g1_i2	Sym_84787_c0_g1
Sym_84815_c0_g1_i1	Sym_84815_c0_g1
Sym_84815_c0_g2_i1	Sym_84815_c0_g2
Sym_84785_c0_g1_i1	Sym_84785_c0_g1
Sym_84797_c0_g2_i1	Sym_84797_c0_g2
Sym_84819_c0_g1_i2	Sym_84819_c0_g1
Sym_84820_c0_g1_i1	Sym_84820_c0_g1
Sym_84820_c0_g2_i1	Sym_84820_c0_g2
Sym_84779_c0_g1_i1	Sym_84779_c0_g1
Sym_84851_c0_g1_i1	Sym_84851_c0_g1
Sym_84838_c1_g1_i1	Sym_84838_c1_g1
Sym_84838_c0_g1_i1	Sym_84838_c0_g1
Sym_84838_c0_g2_i1	Sym_84838_c0_g2
Sym_84859_c0_g1_i1	Sym_84859_c0_g1
Sym_84864_c0_g2_i1	Sym_84864_c0_g2
Sym_84841_c0_g1_i1	Sym_84841_c0_g1
Sym_84841_c0_g1_i2	Sym_84841_c0_g1
Sym_84847_c0_g1_i1	Sym_84847_c0_g1
Sym_84774_c0_g1_i1	Sym_84774_c0_g1
Sym_84795_c0_g1_i1	Sym_84795_c0_g1
Sym_84768_c0_g1_i1	Sym_84768_c0_g1
Sym_84773_c0_g1_i1	Sym_84773_c0_g1
Sym_84829_c0_g1_i1	Sym_84829_c0_g1
Sym_42099_c0_g1_i1	Sym_42099_c0_g1
Sym_42017_c0_g1_i1	Sym_42017_c0_g1
Sym_42080_c0_g1_i1	Sym_42080_c0_g1
Sym_42087_c0_g1_i1	Sym_42087_c0_g1
Sym_42014_c0_g1_i2	Sym_42014_c0_g1
Sym_42010_c0_g1_i1	Sym_42010_c0_g1
Sym_42010_c0_g2_i1	Sym_42010_c0_g2
Sym_42019_c0_g1_i2	Sym_42019_c0_g1
Sym_42001_c0_g1_i1	Sym_42001_c0_g1
Sym_42004_c0_g1_i1	Sym_42004_c0_g1
Sym_42091_c0_g1_i1	Sym_42091_c0_g1
Sym_42043_c0_g2_i1	Sym_42043_c0_g2
Sym_42042_c0_g1_i1	Sym_42042_c0_g1
Sym_42034_c0_g1_i2	Sym_42034_c0_g1
Sym_58472_c0_g1_i1	Sym_58472_c0_g1
Sym_58412_c0_g1_i1	Sym_58412_c0_g1
Sym_58405_c0_g1_i1	Sym_58405_c0_g1
Sym_58414_c0_g1_i1	Sym_58414_c0_g1
Sym_58439_c0_g2_i1	Sym_58439_c0_g2
Sym_58404_c0_g1_i1	Sym_58404_c0_g1
Sym_58495_c0_g1_i1	Sym_58495_c0_g1
Sym_58454_c0_g1_i1	Sym_58454_c0_g1
Sym_58491_c0_g1_i2	Sym_58491_c0_g1
Sym_58419_c0_g1_i1	Sym_58419_c0_g1
Sym_58499_c0_g1_i2	Sym_58499_c0_g1
Sym_58402_c0_g1_i1	Sym_58402_c0_g1
Sym_58441_c0_g1_i1	Sym_58441_c0_g1
Sym_58410_c0_g1_i1	Sym_58410_c0_g1
Sym_58459_c0_g1_i1	Sym_58459_c0_g1
Sym_58497_c0_g1_i1	Sym_58497_c0_g1
Sym_58451_c0_g1_i1	Sym_58451_c0_g1
Sym_58432_c0_g1_i1	Sym_58432_c0_g1
Sym_58446_c0_g1_i1	Sym_58446_c0_g1
Sym_58467_c0_g1_i1	Sym_58467_c0_g1
Sym_58480_c0_g1_i1	Sym_58480_c0_g1
Sym_58421_c0_g1_i1	Sym_58421_c0_g1
Sym_58464_c0_g1_i1	Sym_58464_c0_g1
Sym_58449_c0_g1_i1	Sym_58449_c0_g1
Sym_58458_c0_g1_i1	Sym_58458_c0_g1
Sym_58406_c0_g1_i1	Sym_58406_c0_g1
Sym_58436_c0_g2_i2	Sym_58436_c0_g2
Sym_58478_c0_g1_i1	Sym_58478_c0_g1
Sym_58471_c0_g1_i1	Sym_58471_c0_g1
Sym_58471_c0_g2_i1	Sym_58471_c0_g2
Sym_58488_c0_g1_i2	Sym_58488_c0_g1
Sym_58413_c0_g1_i1	Sym_58413_c0_g1
Sym_58438_c0_g1_i1	Sym_58438_c0_g1
Sym_75686_c0_g1_i1	Sym_75686_c0_g1
Sym_75677_c0_g1_i1	Sym_75677_c0_g1
Sym_75655_c0_g1_i1	Sym_75655_c0_g1
Sym_75632_c0_g1_i1	Sym_75632_c0_g1
Sym_75666_c0_g1_i3	Sym_75666_c0_g1
Sym_75657_c0_g1_i1	Sym_75657_c0_g1
Sym_75652_c0_g2_i1	Sym_75652_c0_g2
Sym_75646_c0_g1_i1	Sym_75646_c0_g1
Sym_75614_c0_g1_i1	Sym_75614_c0_g1
Sym_75662_c0_g1_i1	Sym_75662_c0_g1
Sym_75645_c0_g1_i1	Sym_75645_c0_g1
Sym_75701_c0_g1_i1	Sym_75701_c0_g1
Sym_75698_c0_g1_i1	Sym_75698_c0_g1
Sym_75607_c0_g1_i1	Sym_75607_c0_g1
Sym_75674_c0_g1_i1	Sym_75674_c0_g1
Sym_75608_c0_g1_i2	Sym_75608_c0_g1
Sym_75625_c0_g1_i1	Sym_75625_c0_g1
Sym_75641_c0_g1_i1	Sym_75641_c0_g1
Sym_75628_c0_g1_i1	Sym_75628_c0_g1
Sym_75675_c0_g1_i1	Sym_75675_c0_g1
Sym_75683_c0_g1_i1	Sym_75683_c0_g1
Sym_75660_c0_g1_i1	Sym_75660_c0_g1
Sym_75651_c0_g1_i2	Sym_75651_c0_g1
Sym_2617_c0_g1_i1	Sym_2617_c0_g1
Sym_2667_c0_g1_i1	Sym_2667_c0_g1
Sym_2664_c0_g1_i1	Sym_2664_c0_g1
Sym_2633_c0_g1_i2	Sym_2633_c0_g1
Sym_2618_c0_g1_i1	Sym_2618_c0_g1
Sym_49370_c0_g1_i1	Sym_49370_c0_g1
Sym_49360_c0_g1_i2	Sym_49360_c0_g1
Sym_49325_c0_g1_i1	Sym_49325_c0_g1
Sym_49351_c0_g1_i1	Sym_49351_c0_g1
Sym_49315_c0_g1_i2	Sym_49315_c0_g1
Sym_49329_c0_g1_i1	Sym_49329_c0_g1
Sym_49358_c0_g1_i1	Sym_49358_c0_g1
Sym_49335_c0_g1_i1	Sym_49335_c0_g1
Sym_49335_c0_g2_i1	Sym_49335_c0_g2
Sym_49331_c0_g1_i1	Sym_49331_c0_g1
Sym_49338_c0_g1_i1	Sym_49338_c0_g1
Sym_49334_c0_g1_i1	Sym_49334_c0_g1
Sym_49302_c0_g1_i1	Sym_49302_c0_g1
Sym_49318_c0_g1_i1	Sym_49318_c0_g1
Sym_49352_c0_g1_i1	Sym_49352_c0_g1
Sym_49373_c0_g2_i1	Sym_49373_c0_g2
Sym_49327_c0_g1_i1	Sym_49327_c0_g1
Sym_49328_c0_g1_i1	Sym_49328_c0_g1
Sym_49362_c0_g1_i1	Sym_49362_c0_g1
Sym_33050_c0_g1_i2	Sym_33050_c0_g1
Sym_33017_c0_g1_i1	Sym_33017_c0_g1
Sym_33062_c0_g1_i1	Sym_33062_c0_g1
Sym_33022_c0_g1_i1	Sym_33022_c0_g1
Sym_33022_c0_g2_i1	Sym_33022_c0_g2
Sym_33027_c0_g1_i1	Sym_33027_c0_g1
Sym_33055_c0_g1_i1	Sym_33055_c0_g1
Sym_33038_c0_g1_i1	Sym_33038_c0_g1
Sym_33089_c0_g1_i1	Sym_33089_c0_g1
Sym_33003_c0_g1_i1	Sym_33003_c0_g1
Sym_33003_c0_g2_i1	Sym_33003_c0_g2
Sym_33076_c0_g1_i1	Sym_33076_c0_g1
Sym_33091_c0_g1_i1	Sym_33091_c0_g1
Sym_33047_c0_g1_i1	Sym_33047_c0_g1
Sym_33000_c0_g1_i1	Sym_33000_c0_g1
Sym_93112_c0_g1_i1	Sym_93112_c0_g1
Sym_93115_c0_g1_i1	Sym_93115_c0_g1
Sym_93115_c0_g2_i1	Sym_93115_c0_g2
Sym_93058_c0_g1_i1	Sym_93058_c0_g1
Sym_93043_c0_g1_i6	Sym_93043_c0_g1
Sym_93043_c0_g1_i1	Sym_93043_c0_g1
Sym_93043_c0_g2_i1	Sym_93043_c0_g2
Sym_93120_c0_g1_i1	Sym_93120_c0_g1
Sym_93060_c0_g1_i2	Sym_93060_c0_g1
Sym_93060_c0_g1_i3	Sym_93060_c0_g1
Sym_93079_c0_g2_i3	Sym_93079_c0_g2
Sym_50207_c0_g1_i1	Sym_50207_c0_g1
Sym_50264_c0_g1_i1	Sym_50264_c0_g1
Sym_50226_c0_g1_i2	Sym_50226_c0_g1
Sym_50252_c0_g1_i1	Sym_50252_c0_g1
Sym_50204_c0_g1_i1	Sym_50204_c0_g1
Sym_50243_c0_g1_i1	Sym_50243_c0_g1
Sym_50255_c0_g1_i1	Sym_50255_c0_g1
Sym_50216_c0_g1_i1	Sym_50216_c0_g1
Sym_50215_c0_g1_i1	Sym_50215_c0_g1
Sym_50244_c0_g1_i1	Sym_50244_c0_g1
Sym_66628_c0_g1_i1	Sym_66628_c0_g1
Sym_66684_c0_g4_i1	Sym_66684_c0_g4
Sym_66680_c0_g1_i1	Sym_66680_c0_g1
Sym_66640_c0_g1_i1	Sym_66640_c0_g1
Sym_83929_c0_g1_i3	Sym_83929_c0_g1
Sym_83897_c0_g1_i2	Sym_83897_c0_g1
Sym_83919_c0_g1_i1	Sym_83919_c0_g1
Sym_83949_c0_g1_i1	Sym_83949_c0_g1
Sym_83911_c0_g1_i1	Sym_83911_c0_g1
Sym_83934_c0_g1_i1	Sym_83934_c0_g1
Sym_83887_c0_g1_i1	Sym_83887_c0_g1
Sym_83922_c0_g1_i1	Sym_83922_c0_g1
Sym_83928_c0_g1_i2	Sym_83928_c0_g1
Sym_83927_c0_g1_i1	Sym_83927_c0_g1
Sym_83927_c0_g1_i3	Sym_83927_c0_g1
Sym_83918_c0_g1_i1	Sym_83918_c0_g1
Sym_83933_c0_g1_i2	Sym_83933_c0_g1
Sym_1718_c0_g1_i1	Sym_1718_c0_g1
Sym_1765_c0_g1_i1	Sym_1765_c0_g1
Sym_1767_c0_g1_i2	Sym_1767_c0_g1
Sym_1732_c0_g1_i1	Sym_1732_c0_g1
Sym_1729_c0_g1_i1	Sym_1729_c0_g1
Sym_50341_c0_g1_i1	Sym_50341_c0_g1
Sym_50305_c0_g1_i1	Sym_50305_c0_g1
Sym_50342_c0_g1_i1	Sym_50342_c0_g1
Sym_50399_c0_g1_i1	Sym_50399_c0_g1
Sym_57580_c0_g1_i1	Sym_57580_c0_g1
Sym_57515_c0_g1_i1	Sym_57515_c0_g1
Sym_57556_c0_g1_i1	Sym_57556_c0_g1
Sym_57598_c0_g1_i1	Sym_57598_c0_g1
Sym_57537_c0_g1_i1	Sym_57537_c0_g1
Sym_57520_c0_g1_i1	Sym_57520_c0_g1
Sym_57545_c0_g1_i1	Sym_57545_c0_g1
Sym_57576_c0_g1_i1	Sym_57576_c0_g1
Sym_57546_c0_g1_i1	Sym_57546_c0_g1
Sym_57570_c0_g1_i1	Sym_57570_c0_g1
Sym_57508_c0_g1_i1	Sym_57508_c0_g1
Sym_57555_c0_g1_i1	Sym_57555_c0_g1
Sym_57589_c0_g1_i1	Sym_57589_c0_g1
Sym_57589_c0_g1_i2	Sym_57589_c0_g1
Sym_57538_c0_g1_i1	Sym_57538_c0_g1
Sym_57565_c0_g1_i1	Sym_57565_c0_g1
Sym_57575_c0_g1_i1	Sym_57575_c0_g1
Sym_57588_c0_g1_i1	Sym_57588_c0_g1
Sym_57588_c0_g1_i2	Sym_57588_c0_g1
Sym_57503_c0_g1_i1	Sym_57503_c0_g1
Sym_57534_c0_g1_i1	Sym_57534_c0_g1
Sym_57553_c0_g1_i3	Sym_57553_c0_g1
Sym_57501_c0_g2_i1	Sym_57501_c0_g2
Sym_57597_c0_g1_i1	Sym_57597_c0_g1
Sym_57573_c0_g1_i1	Sym_57573_c0_g1
Sym_57551_c0_g1_i1	Sym_57551_c0_g1
Sym_57587_c0_g1_i1	Sym_57587_c0_g1
Sym_57518_c0_g1_i1	Sym_57518_c0_g1
Sym_57566_c0_g1_i1	Sym_57566_c0_g1
Sym_24084_c0_g1_i1	Sym_24084_c0_g1
Sym_24015_c0_g1_i1	Sym_24015_c0_g1
Sym_24090_c0_g1_i1	Sym_24090_c0_g1
Sym_24091_c0_g1_i1	Sym_24091_c0_g1
Sym_83977_c0_g1_i1	Sym_83977_c0_g1
Sym_84047_c0_g2_i1	Sym_84047_c0_g2
Sym_84026_c0_g1_i1	Sym_84026_c0_g1
Sym_84036_c0_g2_i1	Sym_84036_c0_g2
Sym_83994_c0_g1_i2	Sym_83994_c0_g1
Sym_83968_c0_g3_i1	Sym_83968_c0_g3
Sym_84025_c0_g1_i1	Sym_84025_c0_g1
Sym_84011_c0_g1_i1	Sym_84011_c0_g1
Sym_83967_c0_g1_i1	Sym_83967_c0_g1
Sym_83982_c0_g1_i1	Sym_83982_c0_g1
Sym_84049_c0_g2_i1	Sym_84049_c0_g2
Sym_83995_c0_g1_i1	Sym_83995_c0_g1
Sym_83972_c0_g1_i1	Sym_83972_c0_g1
Sym_83963_c0_g1_i2	Sym_83963_c0_g1
Sym_41280_c0_g1_i1	Sym_41280_c0_g1
Sym_41253_c0_g1_i1	Sym_41253_c0_g1
Sym_41267_c0_g1_i1	Sym_41267_c0_g1
Sym_41285_c0_g1_i2	Sym_41285_c0_g1
Sym_41285_c0_g2_i1	Sym_41285_c0_g2
Sym_41277_c0_g1_i1	Sym_41277_c0_g1
Sym_41229_c0_g1_i1	Sym_41229_c0_g1
Sym_41217_c0_g1_i1	Sym_41217_c0_g1
Sym_41268_c0_g1_i1	Sym_41268_c0_g1
Sym_41210_c0_g1_i1	Sym_41210_c0_g1
Sym_57687_c1_g1_i1	Sym_57687_c1_g1
Sym_57628_c0_g1_i1	Sym_57628_c0_g1
Sym_57646_c0_g1_i1	Sym_57646_c0_g1
Sym_57635_c0_g1_i1	Sym_57635_c0_g1
Sym_57650_c0_g1_i1	Sym_57650_c0_g1
Sym_57694_c0_g1_i1	Sym_57694_c0_g1
Sym_57610_c0_g1_i1	Sym_57610_c0_g1
Sym_57647_c0_g1_i1	Sym_57647_c0_g1
Sym_57681_c0_g1_i1	Sym_57681_c0_g1
Sym_57679_c0_g1_i1	Sym_57679_c0_g1
Sym_57604_c0_g1_i1	Sym_57604_c0_g1
Sym_57691_c0_g1_i1	Sym_57691_c0_g1
Sym_57640_c0_g1_i1	Sym_57640_c0_g1
Sym_57642_c0_g1_i1	Sym_57642_c0_g1
Sym_57666_c0_g1_i1	Sym_57666_c0_g1
Sym_57631_c0_g1_i1	Sym_57631_c0_g1
Sym_57632_c0_g1_i1	Sym_57632_c0_g1
Sym_57607_c0_g1_i1	Sym_57607_c0_g1
Sym_57688_c0_g1_i2	Sym_57688_c0_g1
Sym_57671_c0_g1_i1	Sym_57671_c0_g1
Sym_57645_c0_g1_i1	Sym_57645_c0_g1
Sym_57600_c0_g1_i1	Sym_57600_c0_g1
Sym_57619_c0_g1_i1	Sym_57619_c0_g1
Sym_57654_c0_g1_i1	Sym_57654_c0_g1
Sym_99318_c0_g1_i1	Sym_99318_c0_g1
Sym_99318_c0_g2_i2	Sym_99318_c0_g2
Sym_99286_c0_g2_i2	Sym_99286_c0_g2
Sym_99275_c0_g1_i2	Sym_99275_c0_g1
Sym_99328_c0_g1_i1	Sym_99328_c0_g1
Sym_99328_c0_g2_i1	Sym_99328_c0_g2
Sym_99233_c0_g1_i7	Sym_99233_c0_g1
Sym_99233_c0_g1_i1	Sym_99233_c0_g1
Sym_99263_c0_g1_i1	Sym_99263_c0_g1
Sym_99263_c0_g2_i1	Sym_99263_c0_g2
Sym_99308_c0_g1_i2	Sym_99308_c0_g1
Sym_99302_c1_g2_i1	Sym_99302_c1_g2
Sym_99302_c1_g2_i2	Sym_99302_c1_g2
Sym_99302_c1_g1_i1	Sym_99302_c1_g1
Sym_99302_c1_g1_i2	Sym_99302_c1_g1
Sym_99299_c0_g1_i1	Sym_99299_c0_g1
